BA_Beschreibung
Weiß-Tanne (Ta)
Große Küsten-Tanne (KüTa)
Europäische Lärche (ELä)
Japanische Lärche (JLä)
Gemeine Fichte (Fi)
Omorika-Fichte (OFi)
Sitka-Fichte (SFi)
Schwarz-Kiefer (SKi)
Weymouths-Kiefer (Wey)
Wald-Kiefer (Kie)
Küsten-Douglasie (Dgl)
Gewöhnliche Eibe (Eib)
sonstige Nadelbaum-Arten (sNb)
Feld-Ahorn (FAh)
Spitz-Ahorn (SAh)
Berg-Ahorn (BAh)
Gewöhnliche Rosskastanie (RKa)
Rot-Erle (REr)
Grau-Erle (WEr)
Birken-Arten (Bi)
Hainbuche (HBu)
Edelkastanie (EKa)
Rot-Buche (Bu)
Gemeine Esche (Es)
Schwarznuss (SNu)
Echte Walnuss (WNu)
Wild-Apfel (WAp)
Balsam-Pappeln (BPa)
Schwarz-Pappel (SPa)
Zitter-Pappel (As)
sonstige Pappel-Arten (sPa)
Vogel-Kirsche (Kir)
Traubenkirsche (TKir)
Wild-Birne (WBi)
Trauben-Eiche (TEi)
Stiel-Eiche (SEi)
Rot-Eiche (REi)
Robinie (Rob)
Weiden-Arten (Wei)
Mehlbeere (Meb)
Vogelbeere (Vb)
Speierling (Spei)
Elsbeere (Els)
Winter-Linde (WLi)
Sommer-Linde (SLi)
Berg-Ulme (BUl)
Flatter-Ulme (FlU)
Feld-Ulme (FUl)
sonstige Laubbaum-Arten (sLb)
unbekannt (unb.)
